lcbm,lcdm,lcyn
列车编码,列车代码,列车运量
748,K3808,2026
579,K386,1577
678,K390,1274
4,K4033,2482
700,K4066,3077
32,K4075,2596
365,K4076,2636
62,K4123,2591
63,K4124,2596
679,K4140,3121
93,K4177,1266
94,K4178,2720
749,K4182,#N/A
95,K4197,1132
96,K4198,2412
543,K421,#N/A
16,K4217,2544
12,K4218,2634
10,K4229,2340
8,K4230,2454
701,K4234,2697
702,K424,1574
407,K4249,1377
408,K4250,2448
511,K427,#N/A
24,K4277,1668
9,K4278,1092
13,K4293,2410
363,K4294,2442
658,K4296,1245
38,K4301,2384
39,K4302,2474
735,K4311,1584
703,K4322,3288
704,K4331,#N/A
705,K4332,3102
580,K4348,1896
561,K4373,#N/A
663,K4389,2740
40,K4401,#N/A
548,K4402,2166
409,K4417,2507
410,K4418,2545
246,K4496,2799
64,K4511,2422
65,K4512,2428
568,K4525,2576
621,K4536,2888
622,K4542,2148
706,K4572,2630
469,K4587,836
66,K4588,2576
512,K4618,3262
527,K4620,3600
375,K4645,2545
376,K4646,2507
77,K471,1606
78,K472,1591
386,K473,2024
707,K4734,2922
387,K474,1933
764,K4745,#N/A
732,K4791,1452
750,K4806,2520
67,K485,#N/A
124,K486,827
225,K487,#N/A
252,K488,1573
484,K4902,1960
708,K4914,1392
709,K4920,1638
97,K495,1266
98,K496,1400
710,K4968,3042
536,K4978,3042
354,K503,#N/A
226,K504,1448
41,K507,1392
42,K508,1334
528,K530,1644
529,K540,1350
711,K542,1725
712,K570,#N/A
227,K577,1009
632,K578,1511
68,K585,#N/A
33,K587,#N/A
571,K588,2006
43,K589,1753
44,K590,1635
581,K6,1577
45,K619,1864
46,K620,1726
228,K651,757
730,K652,1140
680,K664,1311
765,K671,1251
766,K673,#N/A
513,K678,1994
69,K687,1500
70,K688,1001
674,K690,1386
668,K693,#N/A
514,K698,1889
515,K724,1500
99,K739,992
100,K740,1574
602,K746,#N/A
71,K775,1954
72,K776,2077
667,K788,1326
101,K79,1485
102,K80,1567
681,K806,1500
551,K812,#N/A
73,K813,1648
74,K814,805
17,K817,1550
19,K818,1525
47,K819,1550
48,K820,1509
125,K827,1107
126,K828,#N/A
103,K833,1478
104,K834,#N/A
75,K835,1496
76,K836,953
454,K841,1669
127,K842,3704
767,K853,1354
582,K870,1860
736,K871,1064
247,K872,1027
583,K880,1671
603,K910,1682
355,K9401,2812
356,K9402,1832
248,K9407,2210
458,K9408,2210
474,K9410,3035
357,K9447,2516
229,K9450,958
358,K9451,1280
230,K9453,1260
231,K9454,1260
232,K9457,3030
233,K9458,1625
234,K9469,#N/A
249,K9515,2582
475,K9516,2550
250,K9517,1858
251,K9518,1941
459,K9520,3360
460,K9524,2365
235,K9549,728
467,K9551,2114
236,K9552,2114
623,K962,1762
672,K998,1146
516,L1018,#N/A
485,L102,#N/A
624,L1034,#N/A
682,L1038,#N/A
584,L1120,#N/A
713,L1132,#N/A
751,L1138,#N/A
714,L1148,#N/A
715,L1162,#N/A
629,L122,#N/A
562,L1221,#N/A
552,L123,#N/A
752,L1234,#N/A
585,L126,#N/A
753,L1262,#N/A
530,L1620,#N/A
593,L1651,#N/A
486,L18,#N/A
586,L196,#N/A
487,L20,#N/A
531,L200,#N/A
754,L2056,#N/A
553,L211,#N/A
587,L2132,#N/A
588,L2133,#N/A
755,L2156,#N/A
589,L218,#N/A
488,L22,#N/A
477,L2226,#N/A
756,L2262,#N/A
489,L228,#N/A
517,L236,#N/A
670,L258,#N/A
364,L26,#N/A
768,L267,#N/A
478,L278,#N/A
490,L34,#N/A
569,L356,#N/A
716,L364,#N/A
491,L376,#N/A
664,L389,#N/A
492,L394,#N/A
625,L40,#N/A
604,L408,#N/A
537,L498,#N/A
563,L5,#N/A
669,L505,#N/A
455,L508,#N/A
564,L525,#N/A
717,L550,#N/A
630,L556,#N/A
626,L557,#N/A
659,L558,#N/A
718,L572,#N/A
479,L604,#N/A
554,L607,#N/A
532,L620,#N/A
590,L646,#N/A
549,L661,#N/A
769,L683,#N/A
719,L696,#N/A
565,L705,#N/A
456,L72,#N/A
555,L73,#N/A
757,L738,#N/A
377,L741,#N/A
770,L745,#N/A
771,L747,#N/A
556,L75,#N/A
772,L775,#N/A
533,L778,#N/A
733,L791,#N/A
463,L794,#N/A
378,L795,#N/A
566,L8,#N/A
538,L842,#N/A
539,L856,#N/A
567,L87,#N/A
720,L874,#N/A
721,L914,#N/A
493,L92,#N/A
359,L935,#N/A
633,L938,#N/A
557,L945,#N/A
631,L955,#N/A
540,L96,#N/A
521,L966,#N/A
482,L973,#N/A
675,L976,#N/A
518,L995,#N/A
461,N748,#N/A
49,T10,1587
683,T126,1773
494,T150,#N/A
684,T248,1432
627,T252,#N/A
628,T258,1667
685,T294,#N/A
483,T58,#N/A
20,T7,1566
23,T8,1522
388,T88,#N/A
50,T9,1569
366,Y102,#N/A
360,Y115,#N/A
558,Y118,#N/A
559,Y132,#N/A
560,Y133,#N/A
634,Y136,#N/A
367,Y152,#N/A
480,Y153,#N/A
773,Y205,#N/A
519,Z124,891
79,Z149,1119
80,Z150,1131
81,Z161,1503
82,Z162,1460
370,Z257,532
371,Z258,714
368,Z3,1858
369,Z4,#N/A
18,Z49,874
11,Z50,957
83,Z53,1424
84,Z54,1423
85,Z77,1444
86,Z78,1461
1,Z95,1683
2,Z96,1577
