zdid,zdmc,station_code,station_telecode,station_shortname
523,广州北,23471,GBQ,广
524,广州西,23543,GXQ,广
525,广州,23693,GZQ,广
526,广州东,23711,GGQ,广
527,石龙,23756,SLQ,石
528,东莞,23757,RTQ,东
529,常平,23768,DAQ,常
530,东莞东,23769,DMQ,东
531,樟木头,23774,ZOQ,樟
532,平湖,23789,PHQ,平
533,平湖南,23790,PNQ,平
534,深圳东,23795,BJQ,深
535,深圳,23819,SZQ,深
536,郁南,23901,YKQ,郁
537,南江口,23903,NDQ,南
538,云浮东,23905,IXQ,云
539,肇庆西,23907,ZKQ,肇
540,坂田,23945,BTQ,坂
541,西丽,23948,ELQ,西
542,深圳西,23951,OSQ,深
543,佛山,24035,FSQ,佛
544,三水,24062,SJQ,三
545,三水南,24065,RNQ,三
546,怀集,24068,FAQ,怀
547,广宁,24071,FBQ,广
548,肇庆东,24074,FCQ,肇
549,肇庆,24113,ZVQ,肇
550,车岗,24131,CGQ,车
551,新兴县,24134,XGQ,新
552,天堂,24143,TEQ,安
553,春湾,24146,CQQ,春
554,阳春,24158,YQQ,阳
555,沙琅,24179,OUQ,沙
556,电白,24185,DEQ,电
557,茂名东,24188,MDQ,茂
558,茂名,24197,MMZ,茂
559,化州,24227,HZZ,化
560,华城,24402,VCQ,华
561,兴宁,24408,ENQ,兴
562,畲江,24411,OCQ,畲
563,梅州,24417,MOQ,梅
564,丰顺,24440,FUQ,丰
565,揭阳,24447,JRQ,揭
566,潮州,24455,CKQ,潮
567,汕头,24467,OTQ,汕
568,固安,24718,GFP,固
569,牛驼,24719,NTA,牛
570,霸州,24725,RMP,霸
571,文安,24734,WBP,文
572,任丘,24736,RQP,任
573,河间西,24744,HXP,河
574,肃宁,24752,SYP,肃
575,饶阳,24761,RVP,饶
576,深州,24770,OZP,深
577,枣强,24788,ZVP,枣
578,大营镇,24789,DJP,大
579,南宫东,24790,NFP,南
580,清河城,24797,QYP,清
581,临西,24798,UEP,临
582,临清,24806,UQK,临
583,聊城东,24809,UDK,聊
584,梁堤头,24811,LFF,梁
585,聊城,24815,UCK,聊
586,阳谷,24824,YIK,阳
587,台前,24825,TTK,台
588,梁山,24833,LMK,梁
589,郓城,24842,YPK,郓
590,鄄城,24851,JCK,鄄
591,定陶,24863,DQK,定
592,曹县,24872,CXK,曹
593,商丘南,24890,SPF,商
594,王楼,24968,WSH,王
595,亳州,24986,BZH,亳
596,三堂集,25031,SDH,三
597,阜阳,25076,FYH,阜
598,阜南,25133,FNH,阜
599,淮滨,25142,HVN,淮
600,潢川,25169,KCN,潢
601,新县,25197,XSN,新
602,麻城,25232,MCN,麻
603,周铁岗,25234,ZZN,周
604,团风,25250,VFN,团
605,黄州,25259,VON,黄
606,浠水,25268,XZN,浠
607,横车,25269,VEN,横
608,蕲春,25277,QRN,蕲
609,栗木,25278,LMN,栗
610,武穴,25295,WXN,武
611,蔡山,25304,CON,蔡
612,孔垄,25313,KLG,孔
613,小池口,25314,EKG,小
614,九江,25322,JJG,九
615,庐山,25346,LSG,庐
616,马回岭,25361,MHG,马
617,德安,25367,DAG,德
618,共青城,25368,GAG,共
619,军山,25376,VSG,军
620,永修,25385,ACG,永
621,乐化,25397,LHG,乐
622,南昌北,25400,NBG,南
623,南昌西,25403,NXG,南
624,莲塘,25442,LTG,莲
625,向塘,25454,XTG,向
626,三江镇,25487,SJG,三
627,丰城南,25497,FNG,丰
628,樟树东,25498,ZOG,樟
629,新干,25532,EGG,新
630,峡江,25533,EJG,峡
631,吉水,25559,VUG,吉
632,吉安,25568,VAG,吉
633,井冈山,25572,JGG,井
634,泰和,25577,THG,泰
635,高兴镇,25604,GEG,高
636,兴国,25613,EUG,兴
637,南塘镇,25631,NTG,南
638,赣县,25640,GVG,赣
639,赣州东,25641,GDG,赣
640,南康,25670,NAG,南
641,信丰,25679,EFG,信
642,龙南,25706,UNG,龙
643,定南,25724,DNG,定
644,和平,25742,VAQ,和
645,龙川,25769,LUQ,龙
646,河源,25787,VIQ,河
647,惠州,25832,HCQ,惠
648,惠州西,25853,VXQ,惠
649,红安,25951,HWN,红
650,良村,26117,LNP,良
651,藁城,26129,GEP,藁
652,晋州,26135,JXP,晋
653,辛集,26144,ENP,辛
654,前磨头,26159,QMP,前
655,贡家台,26162,GJP,贡
656,衡水,26168,HSP,衡
657,清凉店,26180,QDP,清
658,龙华,26186,LHP,龙
659,王瞳,26192,WTP,王
660,石家庄北,26246,VVP,石
661,获鹿,26282,HLP,获
662,上安,26291,SAP,上
663,井陉,26297,JJP,井
664,南张村,26309,NZP,南
665,井南,26312,JNP,井
666,南峪,26315,NUP,南
667,娘子关,26318,NIP,娘
668,程家,26321,CUP,程
669,岩会,26327,AEP,岩
670,阳泉,26354,AQP,阳
671,阳泉北,26360,YPP,阳
672,赛鱼,26378,ORP,赛
673,寿阳,26393,SYV,寿
674,芦家庄,26402,LJV,芦
675,榆次,26420,YCV,榆
676,鸣李,26441,MLV,鸣
677,北营,26444,BIV,北
678,太原,26447,TYV,太
679,太原东,26456,TDV,太
680,太原北,26465,TBV,太
681,太原南,26468,TNV,太
682,邯郸南,26759,HAP,邯
683,平旺,27332,PWV,平
684,韩家岭,27341,HAV,韩
685,怀仁,27353,HRV,怀
686,金沙滩,27359,JTV,金
687,岱岳,27365,RYV,岱
688,神头,27377,SEV,神
689,朔州,27389,SUV,朔
690,阳方口,27416,YFV,阳
691,宁武,27419,NWV,宁
692,轩岗,27434,XGV,轩
693,播明,27473,BMV,播
694,忻州,27476,XXV,忻
695,豆罗,27482,DLV,豆
696,平社,27488,PSV,平
697,北白,27494,BBV,北
698,高村,27497,GCV,高
699,阳曲,27503,YQV,阳
700,修文,27989,XUV,修
701,太谷,28004,TGV,太
702,祁县,28010,QXV,祁
703,平遥,28016,PYV,平
704,张兰,28019,ZLV,张
705,介休,28025,JXV,介
706,灵石,28052,LSV,灵
707,霍州,28073,HZV,霍
708,赵城,28085,ZCV,赵
709,洪洞,28091,HDV,洪
710,临汾,28100,LFV,临
711,襄汾,28124,XFV,襄
712,侯马,28142,HMV,侯
713,东镇,28157,DNV,东
714,闻喜,28160,WXV,闻
715,运城,28175,YNV,运
716,永济,28208,YIV,永
717,风陵渡,28220,FLV,风
718,榆社,28280,YSV,榆
719,武乡,28298,WVV,武
720,沁县,28307,QVV,沁
721,夏店,28322,EDF,夏
722,襄垣,28325,EIF,襄
723,长治北,28337,CBF,长
724,大辛庄,28358,DXF,大
725,长治,28361,CZF,长
726,小宋,28364,XOF,小
727,长子,28367,ECF,长
728,东田良,28370,DTF,东
729,赵庄,28373,ZUF,赵
730,西阳村,28376,XQF,西
731,高平,28379,GPF,高
732,南陈铺,28388,NCF,南
733,北板桥,28391,BBF,北
734,东元庆,28394,DUF,东
735,晋城北,28397,JEF,晋
736,晋城,28418,JCF,晋
737,西武匠,28421,XMF,西
738,东坡,28424,DPF,东
739,孔庄,28427,KZF,孔
740,后寨,28430,HOF,后
741,月山,28442,YBF,月
742,嘉峰,28751,JFF,嘉
743,阳城,28760,YNF,阳
744,磨滩,28765,MTF,磨
745,盘古寺,28769,PGF,盘
746,西贺村,28823,XHV,西
747,新绛,28826,XJV,新
748,稷山,28832,JVV,稷
749,河津,28841,HJV,河
750,禹门口,28847,YKV,禹
751,韩城,28856,HCY,韩
752,合阳,28898,HAY,合
753,韦庄,28907,WZY,韦
754,大荔北,28913,DOY,大
755,钟家村,28928,ZJY,钟
756,张桥,28931,ZQY,张
757,新墩,29318,XEN,新
758,下辛店,29339,XDN,下
759,隔蒲,29348,GPN,隔
760,云梦,29351,YMN,云
761,安陆,29360,ALN,安
762,随州,29381,SZN,随
763,厉山,29405,LSN,厉
764,小林,29406,EIN,小
765,枣阳,29423,ZYN,枣
766,襄阳东,29444,XWN,襄
767,襄阳,29450,XFN,襄
768,襄阳北,29459,XBN,襄
769,马棚,29546,MVN,马
770,陈家湖,29561,CJN,陈
771,老河口东,29567,LDN,老
772,谷城,29681,GCN,谷
773,浪河,29693,LHN,浪
774,武当山,29699,WRN,武
775,十堰,29726,SNN,十
776,花果,29735,HGN,花
777,小花果,29741,XHN,小
778,胡家营,29750,HBN,胡
779,白河东,29751,BIY,白
780,白河县,29753,BEY,白
781,蜀河,29765,SHY,蜀
782,棕溪,29768,ZOY,棕
783,旬阳,29783,XUY,旬
784,吕河,29786,LUY,吕
785,早阳,29789,ZAY,早
786,安康,29843,AKY,安
787,石庙沟,29855,SGY,石
788,大竹园,29870,DZY,大
789,紫阳,29879,ZVY,紫
790,向阳镇,29882,XNY,向
791,高滩,29891,GAY,高
792,毛坝关,29897,MGY,毛
793,麻柳,29900,MLY,麻
794,巴山,29906,BAY,巴
795,万源,29912,WYY,万
796,青花,29921,QIY,青
797,花楼坝,29930,HFY,广
798,毛坝,29939,MBY,毛
799,宣汉,29942,XHY,宣
800,石柱槽,29945,SCY,石
801,蒲家,29948,PUY,蒲
802,双龙,29951,SLY,双
803,达州,29957,RXW,达
804,土溪,29958,TSW,土
805,营山,29961,NUW,营
806,蓬安,29962,PAW,蓬
807,南充东,29964,NTW,南
808,南充,29965,NCW,南
809,蓬溪,29968,KZW,蓬
810,遂宁,29969,NIW,遂
811,梓潼,29972,ZTW,梓
812,金堂,29976,JDW,金
813,覃家坝,29981,QTW,覃
814,渡市,29984,RUW,渡
815,三汇镇,29987,OZW,三
816,临巴溪,29993,UVW,临
817,渠县,29996,QRW,渠
818,广安,30008,VJW,广
819,华蓥,30032,HUW,天
820,高兴,30035,VWW,高
821,三汇坝,30044,OUW,三
822,磨心坡,30053,VNW,磨
823,北碚,30056,BPW,北
824,团结村,30062,TQW,团
825,开江,30152,KAW,开
826,梁平,30153,UQW,梁
827,万州,30156,WYW,万
828,五桥,30170,WPW,五
829,鱼背山,30173,YMW,鱼
830,齐岳山,30179,QMW,齐
831,凉雾,30182,LOW,凉
832,石柱县,30188,OSW,石
833,丰都,30190,FUW,丰
834,涪陵北,30192,FEW,涪
835,长寿北,30194,COW,长
836,复盛,30196,FAW,复
837,双溪,30198,OOW,双
838,南京西,30248,NIH,宁
839,镇江,30407,ZJH,镇
840,丹阳,30428,DYH,丹
841,常州,30452,CZH,常
842,戚墅堰,30479,QYH,戚
843,无锡,30497,WXH,无
844,苏州,30530,SZH,苏
845,昆山,30548,KSH,昆
846,黄渡,30566,HDH,黄
847,上海西,30662,SXH,沪
848,上海,30671,SHH,沪
849,中华门,30743,VNH,中
850,马鞍山,30779,MAH,马
851,芜湖,30926,WHH,芜
852,狮子山,30980,OZH,狮
853,铜陵,30985,TJH,铜
854,池州,31015,IYH,池
855,东至,31021,DCH,东
856,彭泽,31026,PZG,彭
857,湖口,31028,HKG,湖
858,宣城,31319,ECH,宣
